# x_rms,y_rms,z_rms,x_mean,y_mean,z_mean,x_std,y_std,z_std,label
6.246816372359163122e-02,6.252250978313418361e-01,7.779404254586540501e-01,-6.037296184602922167e-02,6.247967077108185219e-01,7.777248043575849534e-01,1.604297219767423718e-02,2.314080793604398473e-02,1.831486417497886834e-02,0.000000000000000000e+00
6.568105997949823249e-02,5.678693958996730018e-01,8.204939655844580848e-01,-6.368901729267974210e-02,5.677465689503286006e-01,8.204627853201111876e-01,1.605337087104093119e-02,1.181034481246449538e-02,7.153003933669970123e-03,0.000000000000000000e+00
6.957946082087161643e-02,5.728967452494955204e-01,8.166688545024913815e-01,-6.914217638614980621e-02,5.727832692620795640e-01,8.166314240340740715e-01,7.788505165290475138e-03,1.140206871183609139e-02,7.818899826188562691e-03,0.000000000000000000e+00
4.319038666245791913e-02,5.542555343834711934e-01,8.312252360854066602e-01,-3.910771024824911957e-02,5.528291891727101781e-01,8.308233121163107748e-01,1.833020728719710057e-02,3.973770241660994768e-02,2.584602772813389404e-02,0.000000000000000000e+00
6.583436683299763448e-02,4.811455827991026335e-01,8.741651813568246387e-01,-6.400002584578402820e-02,4.799943975689322517e-01,8.739937852139759711e-01,1.543245113521097937e-02,3.326334543496742291e-02,1.730975747826704603e-02,0.000000000000000000e+00
5.889225151623114080e-02,4.955564516964399702e-01,8.665768897757329947e-01,-5.583941582841776136e-02,4.922914492751306881e-01,8.659215853692980858e-01,1.871515237961149380e-02,5.679195179387229453e-02,3.369441919523585849e-02,0.000000000000000000e+00
6.018941389351758348e-02,4.927083400300569238e-01,8.681104342881615921e-01,-5.106991289167941983e-02,4.903643038338916238e-01,8.677330703922191413e-01,3.185325010232776394e-02,4.800372757064864243e-02,2.559384042445582083e-02,0.000000000000000000e+00
4.570191269093901165e-02,3.789921987317368401e-01,9.242706575873071984e-01,-3.246837813600565725e-02,3.743728580964056363e-01,9.239506061063252895e-01,3.216316596399616812e-02,5.899194707962157613e-02,2.432130655674901581e-02,0.000000000000000000e+00
1.695436419764397018e-01,4.314175945791860478e-01,8.860777689079406549e-01,-1.441860137706647560e-01,4.175620708434259476e-01,8.841297214038740249e-01,8.919327310711742951e-02,1.084576318450699156e-01,5.872349004599524552e-02,0.000000000000000000e+00
1.504479355140955488e-01,3.584909295319952949e-01,9.213303816453859429e-01,-1.392880654276252850e-01,3.574044673849794407e-01,9.213145795256648674e-01,5.686313506906766346e-02,2.788894494191573870e-02,5.396081567171116984e-03,0.000000000000000000e+00
1.671859195549495192e-01,3.154845319858637920e-01,9.340869222830531227e-01,-1.595343456237669211e-01,3.131465441562493734e-01,9.340525330655647940e-01,4.999924263256934343e-02,3.833708133566882809e-02,8.015226386589621721e-03,0.000000000000000000e+00
1.614557133973424652e-01,2.781024363414205114e-01,9.468849388982387705e-01,-1.471715216304645968e-01,2.751672272970644983e-01,9.467823450832056897e-01,6.639646533979415288e-02,4.029841337670115459e-02,1.393838409096130604e-02,0.000000000000000000e+00
1.232249601436933989e-01,2.241126099529190396e-01,9.667415100520283522e-01,-3.443667847632129325e-02,2.206135840595019049e-01,9.667019392608361406e-01,1.183152820980168107e-01,3.944754071333630985e-02,8.746878701277853094e-03,0.000000000000000000e+00
8.482415591652103792e-02,3.597527773977918786e-01,9.291839439678371004e-01,-4.819726275416198052e-02,3.577491895521023313e-01,9.290211147516718171e-01,6.980086883382284613e-02,3.791540874419159490e-02,1.739454147673022769e-02,0.000000000000000000e+00
1.625939314636604127e-01,3.708888437005840033e-01,9.143329147906873455e-01,-1.469952667255076395e-01,3.664942296465739102e-01,9.137400382530151965e-01,6.949228812685884216e-02,5.692551288588081765e-02,3.292144533602470863e-02,0.000000000000000000e+00
1.382792975410546410e-01,3.390147341202900400e-01,9.305631874950253124e-01,-1.318927050906855136e-01,3.378103349866478644e-01,9.304496882109040135e-01,4.153887904492588323e-02,2.855113880145130137e-02,1.453353464003367262e-02,0.000000000000000000e+00
1.644359355067478989e-01,3.562442317703848338e-01,9.198102361054419918e-01,-1.594246900402273848e-01,3.550225991306900641e-01,9.197449870921885484e-01,4.028579267628696475e-02,2.947722470248946222e-02,1.095578217832266117e-02,0.000000000000000000e+00
